,name
430, Chennai Woodlands
431, Eatza Pizza
432, Cilantro
433, Junior Kuppanna
434, Samudra
435, The Padrino
436, Petuk
437, Plan B
438, Seasonal Tastes
439, Vrindavan Restaurant
440, Jamavar
441, The Westminster
442, Cafe de Paris
443, Colony
444, Mainland China - Anna Nagar
445, GhumaGhumalu Andhra Mess
446, Rasavid
448, Writer's Cafe
449, I D
450, Slounge
451, Cleo's Grill & Cafe
452, Dakshinapuram
453, Kaidi Kitchen
454, The Verandah
455, BR Mathsya
456, Double Roti
457, Noodle Bar
458, Ambur Star Briyani
459, The Dining Room
460, Nalas Appakadai
461, Sachin Da Dhaba
462, Krishnavillasam
463, Kakada Ramprasad Sweets & Chats
464, The Vault Bar Stock Exchange
465, The Reef
466, Dindigul Thalapakatti Restaurant
467, Shaack
468, The Farmhouse
469, China XO
470, Curry and Spices
471, Ente Keralam
473, Thirukkural Unavagam
474, Buhari Hotel
475, Hotel Krishnavilasam
476, Coal Barbecues
477, Pizza Hut
478, Famous Theory
479, Basil - With a Twist
480, Ya Mohideen Biryani Centre
481, Spectra
482, Hotel Runs Restaurant
483, Peshawri
484, Nasi and Mee
485, Gourmand's Delight
486," Sangeetha, Gandhi Nagar"
487, Cinnamon
488, Bay View Point
489, Focaccia
490, The Irish House
491, Gastronomer By Double Roti
492, The Moon and Sixpence
493, Thalappakatti Biriyani
494, Haunted
495, The Crown
496, Nando's
497, Pind
498, ECR Dhaba
499, Avartana
500, Pumpkin Tales
501, Chamiers Cafe
502, Rayar's Mess
503, Veg Valley
504, Bamboo Bar
505, Pelican Deck
506, Mast Kalandar
507, Watson's The Grub Pub
508, Ciclo Cafe
509, Punjab Grill Chennai
510, Madras
511, Royal Indianaa
512,Pasta e Vino Osteria
